timestamp,open,high,low,close,volume
1636617600000,3.7,5.8,3.7,5.2999,50948.0111
1636617660000,5.2999,5.3,4.9,4.9984,52763.91908495
1636617720000,4.9984,5.1494,4.9009,5.1494,23304.00316946
1636617780000,5.1,5.1494,4.67,4.7497,21931.82206293
1636617840000,4.7502,4.8899,4.622,4.8899,11033.97239442
1636617900000,4.8502,5.0,4.8311,4.9302,12972.83327779
1636617960000,4.9599,4.96,4.9003,4.9302,1695.55972174
1636618020000,4.9303,4.9303,4.7997,4.89,2174.16935555
1636618080000,4.8317,4.8997,4.7997,4.85,3534.93883655
1636618140000,4.85,4.85,4.79,4.8,2076.21411711
1636618200000,4.7901,4.7993,4.5948,4.6,4857.95880072
1636618260000,4.5948,4.75,4.5501,4.65,9062.28654407
1636618320000,4.6999,4.7,4.62,4.6205,860.87525992
1636618380000,4.6201,4.68,4.62,4.63,1297.91312702
1636618440000,4.6699,4.68,4.63,4.6699,10339.33499798
1636618500000,4.66,4.72,4.6302,4.6502,2608.24405063
1636618560000,4.6505,4.6999,4.6502,4.6988,1050.85042216
1636618620000,4.6987,4.7887,4.6518,4.712,1737.26502999
1636618680000,4.76,4.7886,4.7024,4.779,392.91135255
1636618740000,4.7202,4.7888,4.7202,4.7888,1831.91055093
1636618800000,4.7888,4.9,4.7241,4.8999,7083.32753378
1636618860000,4.8997,4.8997,4.7066,4.85,3829.60715632
1636618920000,4.85,4.85,4.7117,4.7204,828.43812636
1636618980000,4.8297,4.8298,4.7305,4.79,318.58786824
1636619040000,4.79,4.79,4.7206,4.7899,335.2208314
1636619100000,4.789,4.8284,4.7312,4.732,330.37478249
1636619160000,4.82,4.9,4.7202,4.8,1871.53242661
1636619220000,4.7401,4.7892,4.7,4.7,3847.17193204
1636619280000,4.7101,4.7795,4.7,4.7,5956.39280194
1636619340000,4.7,4.7697,4.7,4.7393,2940.93922283
1636619400000,4.7499,4.7696,4.7006,4.729,172.81894372
1636619460000,4.7008,4.729,4.65,4.65,1861.58550838
1636619520000,4.65,4.65,4.6,4.6004,1719.92015188
1636619580000,4.6004,4.6621,4.6,4.6127,2303.14340433
1636619640000,4.6128,4.613,4.6126,4.613,417.6537
1636619700000,4.62,4.647,4.6,4.6,2897.93912735
1636619760000,4.5999,4.6,4.59,4.6,2322.4917826
1636619820000,4.6,4.68,4.6,4.68,978.99113813
1636619880000,4.68,4.75,4.68,4.7,1412.45068975
1636619940000,4.6933,4.7341,4.6135,4.68,3659.72834187
1636620000000,4.67,4.67,4.65,4.65,92.61887526
1636620060000,4.6138,4.6795,4.6137,4.62,261.25088231
1636620120000,4.6295,4.6295,4.59,4.59,2114.1251
1636620180000,4.59,4.6137,4.59,4.59,960.13291612
1636620240000,4.59,4.59,4.59,4.59,4.4758
1636620300000,4.592,4.61,4.592,4.61,454.16758931
1636620360000,4.6098,4.6135,4.5921,4.61,279.98892578
1636620420000,4.6137,4.66,4.6137,4.66,295.55422124
1636620480000,4.66,4.7264,4.6599,4.7264,1285.79901032
1636620540000,4.7265,4.7265,4.61,4.61,2431.20632564
1636620600000,4.6151,4.6499,4.61,4.6399,63.07958518
1636620660000,4.6398,4.6398,4.5936,4.6397,308.272223
1636620720000,4.6199,4.6199,4.59,4.59,460.30670508
1636620780000,4.5901,4.6196,4.59,4.5901,151.99618591
1636620840000,4.6099,4.6198,4.5901,4.6198,744.23459632
1636620900000,4.6198,4.65,4.6198,4.6399,772.85181726
1636620960000,4.6399,4.6399,4.59,4.59,877.4356
1636621020000,4.6299,4.6299,4.59,4.6289,2328.12272061
1636621080000,4.61,4.6289,4.59,4.59,1136.2529
1636621140000,4.6278,4.6279,4.59,4.59,1634.44192503
1636621200000,4.5901,4.62,4.5617,4.59,2674.88790995
1636621260000,4.59,4.59,4.51,4.512,875.66285666
1636621320000,4.512,4.68,4.5113,4.67,4706.70690533
1636621380000,4.67,4.679,4.5845,4.6779,836.25000801
1636621440000,4.6497,4.7,4.5844,4.6001,2400.8741005
1636621500000,4.6359,4.6798,4.6359,4.6531,573.76779983
1636621560000,4.6798,4.6798,4.6531,4.6798,52.5265605
1636621620000,4.6798,4.6798,4.6531,4.6531,150.31055881
1636621680000,4.6531,4.6798,4.6401,4.6798,79.71585762
1636621740000,4.6798,4.6798,4.6401,4.6401,14.6679
1636621800000,4.6401,4.6401,4.6401,4.6401,11.6414
1636621860000,4.665,4.6798,4.6403,4.6798,279.96770673
1636621920000,4.6798,4.6798,4.6798,4.6798,62.55877708
1636621980000,4.6798,4.6798,4.6798,4.6798,4.87776586
1636622040000,4.6798,4.6798,4.678,4.678,12.2353
1636622100000,4.6799,4.6799,4.678,4.678,2.0687
1636622160000,4.6799,4.7,4.6525,4.697,1227.18172334
1636622220000,4.6525,4.6999,4.6501,4.6567,502.20077568
1636622280000,4.6567,4.6999,4.6567,4.6969,85.31148372
1636622340000,4.6568,4.697,4.6531,4.697,111.6099
1636622400000,4.6969,4.6999,4.6401,4.6401,242.0818
1636622460000,4.6774,4.6774,4.67,4.67,25.32656283
1636622520000,4.67,4.67,4.6401,4.6401,410.94765663
1636622580000,4.6401,4.6697,4.6001,4.6007,353.60836027
1636622640000,4.6394,4.6394,4.6,4.61,261.91624707
1636622700000,4.61,4.639,4.5881,4.5881,260.3803
1636622760000,4.63,4.6394,4.5881,4.6394,5254.0367
1636622820000,4.6037,4.639,4.5884,4.6389,102.91252797
1636622880000,4.6037,4.6037,4.5881,4.5881,38.2249
1636622940000,4.5882,4.5883,4.5882,4.5883,64.9891
1636623000000,4.6349,4.635,4.6001,4.635,317.33334953
1636623060000,4.62,4.62,4.62,4.62,21.38309523
1636623120000,4.6,4.635,4.6,4.635,270.9378189
1636623180000,4.6,4.635,4.6,4.6,259.62817011
1636623240000,4.6349,4.635,4.625,4.625,100.1553398
1636623300000,4.6088,4.6088,4.5844,4.5844,526.33487009
1636623360000,4.5843,4.5844,4.5101,4.5101,327.84412645
1636623420000,4.5697,4.5843,4.5153,4.5153,66.07900632
1636623480000,4.5166,4.5166,4.472,4.472,1567.82155563
1636623540000,4.4686,4.4686,4.3628,4.3628,1062.11233857
1636623600000,4.3628,4.3668,4.3252,4.3252,509.27530085
1636623660000,4.3486,4.3487,4.3486,4.3486,687.28287228
1636623720000,4.3487,4.3929,4.3487,4.3929,719.54520092
1636623780000,4.39,4.39,4.3487,4.3487,412.7778
1636623840000,4.3511,4.3566,4.3511,4.3566,6.5863
1636623900000,4.3566,4.4,4.3511,4.358,1264.03195963
1636623960000,4.358,4.4,4.3519,4.4,144.2317
1636624020000,4.3624,4.446,4.3583,4.446,379.63515839
1636624080000,4.4059,4.5033,4.4059,4.5033,454.8670685
1636624140000,4.5021,4.5446,4.43,4.4934,612.15826323
1636624200000,4.4775,4.4998,4.4721,4.4721,75.44453801
1636624260000,4.4721,4.4721,4.4687,4.4687,226.336
1636624320000,4.4687,4.4687,4.43,4.46,232.5391
1636624380000,4.4301,4.4301,4.4272,4.43,373.75493634
1636624440000,4.4272,4.4272,4.3857,4.3857,638.2051
