timestamp,open,high,low,close,volume
1638266400000,1.72,2.5305,1.72,2.52,30546.6289
1638266460000,2.52,2.6005,2.2158,2.3983,133238.59756322
1638266520000,2.3982,2.45,2.2158,2.3596,49081.82536544
1638266580000,2.3595,2.39,2.2997,2.3886,9984.27306831
1638266640000,2.3519,2.39,2.3276,2.351,8911.73225652
1638266700000,2.3643,2.39,2.35,2.3899,6983.80493632
1638266760000,2.3898,2.39,2.35,2.35,6779.72688389
1638266820000,2.3791,2.38,2.35,2.38,6260.49973283
1638266880000,2.3799,2.38,2.35,2.3608,8723.88005372
1638266940000,2.379,2.38,2.34,2.3799,4764.29046165
1638267000000,2.3552,2.3898,2.3502,2.3796,5524.4749646
1638267060000,2.3659,2.397,2.3603,2.397,4309.32598147
1638267120000,2.397,2.4,2.3818,2.39,7123.91337496
1638267180000,2.3913,2.436,2.391,2.435,8591.8944443
1638267240000,2.4124,2.5,2.411,2.485,6975.00363019
1638267300000,2.485,2.4995,2.4411,2.4412,5177.44533441
1638267360000,2.4412,2.4412,2.3796,2.42,8360.82811976
1638267420000,2.4258,2.4258,2.3951,2.4098,10617.79921799
1638267480000,2.4092,2.4099,2.3888,2.4099,3934.42093338
1638267540000,2.4098,2.4099,2.389,2.395,3129.9485794
1638267600000,2.395,2.42,2.3888,2.4089,6852.70355786
1638267660000,2.4089,2.486,2.4027,2.4859,5693.32702784
1638267720000,2.4858,2.5,2.4412,2.5,13238.3955747
1638267780000,2.4902,2.55,2.4502,2.5498,19469.68039237
1638267840000,2.5339,2.56,2.4801,2.5598,5781.80922959
1638267900000,2.5592,2.56,2.53,2.5497,3591.00283413
1638267960000,2.5488,2.5999,2.5,2.5999,9031.54619217
1638268020000,2.5999,2.6,2.5807,2.5998,16632.77776787
1638268080000,2.5999,2.6,2.49,2.49,18536.14912048
1638268140000,2.504,2.59,2.45,2.53,16685.35415133
1638268200000,2.53,2.5368,2.5028,2.5201,5646.28933917
1638268260000,2.5201,2.55,2.485,2.5375,7077.93372736
1638268320000,2.5336,2.56,2.5,2.5402,8803.19252647
1638268380000,2.5401,2.5402,2.4801,2.4896,10263.81810618
1638268440000,2.4905,2.5,2.48,2.5,3532.98536251
1638268500000,2.5,2.5116,2.4801,2.5116,4173.679398
1638268560000,2.5067,2.5499,2.5,2.5197,2776.20442178
1638268620000,2.5224,2.57,2.5019,2.5698,3922.98752446
1638268680000,2.5611,2.5999,2.5286,2.5746,5414.08225893
1638268740000,2.5691,2.5999,2.5155,2.5724,5437.43881302
1638268800000,2.5724,2.5724,2.5019,2.5451,3011.76950714
1638268860000,2.545,2.5797,2.5254,2.54,8243.97706673
1638268920000,2.54,2.5802,2.5326,2.55,8034.59466217
1638268980000,2.55,2.59,2.53,2.585,10750.3247599
1638269040000,2.59,2.5999,2.5635,2.58,6244.70126186
1638269100000,2.5798,2.58,2.5369,2.552,6847.18874519
1638269160000,2.552,2.6,2.5265,2.5998,9362.54756772
1638269220000,2.5998,2.6,2.52,2.5798,2895.74052608
1638269280000,2.5808,2.5998,2.5601,2.5635,2986.48700119
1638269340000,2.576,2.59,2.5542,2.58,6086.37062413
1638269400000,2.58,2.5999,2.5644,2.5998,10098.38011992
1638269460000,2.5852,2.6,2.5725,2.595,13608.10376535
1638269520000,2.5814,2.595,2.525,2.5336,6197.30191078
1638269580000,2.5337,2.59,2.53,2.5808,6901.05773514
1638269640000,2.5799,2.5808,2.5648,2.5701,1632.14762246
1638269700000,2.5701,2.58,2.55,2.5749,5395.7149768
1638269760000,2.5591,2.564,2.53,2.5355,5792.46798006
1638269820000,2.5301,2.549,2.53,2.549,2109.83817631
1638269880000,2.532,2.555,2.5,2.5157,5377.31215255
1638269940000,2.5159,2.5201,2.5,2.5128,8542.02466916
1638270000000,2.5126,2.516,2.461,2.47,8015.53022669
1638270060000,2.4798,2.5,2.4701,2.4959,5602.86511183
1638270120000,2.4945,2.54,2.493,2.525,5810.78525678
1638270180000,2.5125,2.53,2.5107,2.5288,2347.86250211
1638270240000,2.5162,2.5162,2.4788,2.492,3978.80696526
1638270300000,2.4808,2.55,2.48,2.4948,9083.87903903
1638270360000,2.4948,2.504,2.4711,2.4907,2016.26361573
1638270420000,2.48,2.4918,2.461,2.461,2577.05960046
1638270480000,2.4611,2.4799,2.453,2.4609,3658.55185151
1638270540000,2.4609,2.48,2.453,2.48,5922.59408013
1638270600000,2.4688,2.48,2.4608,2.4789,5362.5239191
1638270660000,2.4665,2.4789,2.45,2.4531,10457.22995416
1638270720000,2.4531,2.4644,2.45,2.4624,4671.02877058
1638270780000,2.4623,2.4623,2.45,2.45,3379.98021928
1638270840000,2.461,2.4611,2.45,2.45,7575.10701723
1638270900000,2.4502,2.5,2.45,2.4628,4209.95187373
1638270960000,2.4655,2.4892,2.4646,2.4796,2341.76953786
1638271020000,2.4724,2.495,2.45,2.467,19656.89324243
1638271080000,2.4668,2.4737,2.4569,2.4699,3070.295101
1638271140000,2.4606,2.4698,2.45,2.46,7165.95395125
1638271200000,2.4509,2.47,2.45,2.47,4373.77449425
1638271260000,2.4662,2.528,2.466,2.528,3978.51247483
1638271320000,2.528,2.528,2.4908,2.5038,2378.31433641
1638271380000,2.4921,2.4967,2.466,2.4967,2314.16545483
1638271440000,2.4992,2.4998,2.4788,2.4911,2160.46250371
